Date,Open,High,Low,Close,Volume,"Daily Change %"
10-Aug-2018,385,399.9,380,397.3,2889773,3.19
10-Aug-2018,395,395.9,388,393.4,1753491,-0.41
10-Aug-2018,396.6,396.6,385,386.8,2790651,-2.47
10-Aug-2018,400.1,402.85,396.3,397.4,1811760,-0.67
10-Aug-2018,404.05,414.85,399.55,408.65,2846306,1.14
10-Aug-2018,406.8,409.75,393,399.9,4041108,-1.70
10-Aug-2018,400,405,397,402.75,1922945,0.69
10-Aug-2018,400,401.9,394.75,399.6,4221248,-0.10
10-Aug-2018,390,403.9,389.25,397.7,4032660,1.97
10-Aug-2018,393.1,393.2,386,390,3844462,-0.79
10-Aug-2018,381.65,389.35,380.95,388.3,2800579,1.74
10-Aug-2018,386.25,390,356.65,379.45,17135931,-1.76
10-Aug-2018,428,434,420.15,429.15,2257516,0.27
10-Aug-2018,420,427.9,416.15,426,3098044,1.43
10-Aug-2018,416.5,420,414.35,417.15,2039655,0.16
10-Aug-2018,414,418.65,408.5,415.75,4828731,0.42
10-Aug-2018,425,426,414.2,416.15,2194511,-2.08
10-Aug-2018,429,441.9,420.1,422.3,3934861,-1.56
10-Aug-2018,443,443.5,429,430.85,1754010,-2.74
10-Aug-2018,445,445.9,438.15,442.6,1080719,-0.54
10-Aug-2018,443.4,446.9,441,443.75,1820495,0.08
10-Aug-2018,434.75,444.6,434.65,442.25,2696277,1.73
10-Aug-2018,432,435.9,426.2,434.75,2060011,0.64
10-Aug-2018,428.5,434.3,427.2,430.4,2018816,0.44
10-Aug-2018,422.6,432,420.9,426.2,4402442,0.85
10-Aug-2018,413.4,423,412,421.15,1938018,1.87
10-Aug-2018,418.9,419.4,410.4,413,1541496,-1.41
10-Aug-2018,420,422.8,416.65,419.1,1009112,-0.21
10-Aug-2018,420.9,425,416.65,418.15,1568455,-0.65
10-Aug-2018,419,421.4,418.15,419.85,1746287,0.20
10-Aug-2018,425.5,428.8,416,416.95,1945081,-2.01
10-Aug-2018,426.2,428.7,422.5,424.95,1450414,-0.29
10-Aug-2018,440,441.95,424.1,427.05,3721058,-2.94
10-Aug-2018,432.5,440.1,429.25,438.15,2575089,1.31
10-Aug-2018,430.5,431.3,424.3,429.25,1709076,-0.29
10-Aug-2018,425,431.8,422.2,427.65,2668714,0.62
10-Aug-2018,415,422.8,414.5,420.5,2818261,1.33
10-Aug-2018,419.5,425.5,412.45,414.3,2638642,-1.24
10-Aug-2018,422,425.9,416.95,418.9,2338492,-0.73
10-Aug-2018,429.95,429.95,420.05,421.95,2595117,-1.86
10-Aug-2018,438,442.8,427.85,429.95,1543616,-1.84
10-Aug-2018,446.7,447.35,435.55,437.65,1728894,-2.03
10-Aug-2018,443.1,446.7,440,445.2,1861086,0.47
10-Aug-2018,445,448.7,441.5,443.05,2111378,-0.44
10-Aug-2018,447.95,454.55,442.05,443.2,3125291,-1.06
10-Aug-2018,446.95,448.4,441.3,446.9,1926091,-0.01
10-Aug-2018,454,456.6,445.45,446.95,2902998,-1.55
10-Aug-2018,457,459,450.75,453.1,1914496,-0.85
10-Aug-2018,462,464,454.6,459.15,2581903,-0.62
10-Aug-2018,459.5,463.5,455.5,461.2,4028816,0.37
10-Aug-2018,459,459.9,451.2,458.25,3227158,-0.16
10-Aug-2018,471.7,471.7,454.65,455.7,5722292,-3.39
10-Aug-2018,474,477.65,463.2,468.8,2457180,-1.10
10-Aug-2018,482,482,472,474.15,2203312,-1.63
10-Aug-2018,476.9,483.5,475.6,482.15,3259747,1.10
10-Aug-2018,477,479.5,472.85,475.4,2797599,-0.34
10-Aug-2018,482,484.5,475.05,476.95,4422809,-1.05
10-Aug-2018,483,491,480.1,481.9,3734239,-0.23
10-Aug-2018,485.5,487.8,469.35,484.25,5857451,-0.26
10-Aug-2018,482,483.85,478.5,481.1,4191349,-0.19
10-Aug-2018,483.4,484.75,471.6,479.65,3941570,-0.78
10-Aug-2018,482,485.9,476.2,479.85,4483127,-0.45
10-Aug-2018,493.5,497.3,474.5,475.8,3875776,-3.59
10-Aug-2018,493,495.5,487.55,488.95,1752351,-0.82
10-Aug-2018,499.5,503.1,488.1,491.9,1430424,-1.52
10-Aug-2018,506,507.25,498.6,499.95,3221133,-1.20
10-Aug-2018,499.8,505.75,494.6,499.95,1234125,0.03
10-Aug-2018,501.1,505.35,500,503.7,2136886,0.52
10-Aug-2018,503,505.05,497.3,499.9,2392413,-0.62
10-Aug-2018,488.95,502.2,487.95,499.75,1979476,2.21
10-Aug-2018,506,509,488.45,499.4,31171453,-1.30
10-Aug-2018,500.25,510.05,495,499.8,2250245,-0.09
10-Aug-2018,508,515,499.8,503.65,5868525,-0.86
10-Aug-2018,508.5,511.4,503.6,507.95,3036464,-0.11
10-Aug-2018,500,515.25,500,507.9,3268863,1.58
10-Aug-2018,503.55,507.4,497,499.95,2610984,-0.71
10-Aug-2018,502.3,505,496,503.5,1688519,0.24
10-Aug-2018,494.05,505.5,494.05,504.5,2591411,2.12
10-Aug-2018,503.25,511.6,489.1,495.65,2584154,-1.51
10-Aug-2018,501,508.55,500.35,504.6,2664728,0.72
10-Aug-2018,500,504.7,495.5,499.65,1903851,-0.07
10-Aug-2018,490,503.5,486,499.9,7225481,2.02
10-Aug-2018,477.9,486.75,474.5,485,3013021,1.49
10-Aug-2018,470,483.75,468.8,474.6,1754215,0.98
10-Aug-2018,480,480,469.1,470.85,1794349,-1.91
10-Aug-2018,481.05,488.6,471.2,477.5,2105323,-0.74
10-Aug-2018,464.1,482,464.1,480.45,2677019,3.52
10-Aug-2018,449.7,465,440,461.1,3771089,2.54
10-Aug-2018,452.25,457,436.45,449.7,4061099,-0.56
10-Aug-2018,484.7,484.7,425.5,452.2,7804620,-6.71
10-Aug-2018,467,478,461.2,471.6,3024028,0.99
